codigo,nombre,region_codigo
10109,Puerto Varas,10
10201,Castro,10
10202,Ancud,10
10203,Chonchi,10
10204,Curaco de Vélez,10
10205,Dalcahue,10
10206,Puqueldón,10
10207,Queilén,10
10208,Quemchi,10
10209,Quínchao,10
10301,Osorno,10
10302,Puerto Octay,10
10303,Purranque,10
10304,Puyehue,10
10305,Río Negro,10
10306,San Juan de la Costa,10
10307,San Pablo,10
10401,Chaitén,10
10402,Futaleufú,10
10403,Hualaihué,10
10404,Palena,10
11101,Coyhaique,11
11102,Lago Verde,11
11201,Aysén,11
11202,Cisnes,11
11203,Guaitecas,11
11301,Cochrane,11
11302,O'Higgins,11
11303,Tortel,11
11401,Chile Chico,11
11402,Río Ibáñez,11
12101,Punta Arenas,12
12102,Laguna Blanca,12
12103,Río Verde,12
12104,San Gregorio,12
12201,Cabo de Hornos,12
12202,Antártica,12
12301,Porvenir,12
12302,Primavera,12
12303,Timaukel,12
12401,Natales,12
12402,Torres del Paine,12
